City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,MaxTemp,WindSpeed
246,matadi,100,CD,1603766337,84,-5.82,13.45,76.21,2.71
247,guerrero negro,0,MX,1603766337,37,27.98,-114.06,65.88,14.72
248,porto novo,40,BJ,1603766143,88,6.5,2.6,80.6,5.82
249,drezdenko,100,PL,1603766337,89,52.84,15.83,52,3
250,gambo,100,CF,1603766338,96,4.65,22.26,68.99,0.87
251,tura,83,IN,1603766338,73,25.52,90.22,79.34,1.59
252,ygatimi,14,PY,1603766338,97,-24.08,-55.5,67.46,2.39
253,fare,96,PF,1603766338,76,-16.7,-151.02,81.3,16.8
254,hasaki,75,JP,1603766096,55,35.73,140.83,66.99,12.75
255,vikevag,0,NO,1603766339,76,59.1,5.7,50,8.05
256,cagayan de tawi-tawi,,,,,,,,
257,tuatapere,51,NZ,1603766339,64,-46.13,167.68,57,8.99
258,sangar,100,RU,1603766339,95,63.92,127.47,9.68,7.76
259,longyearbyen,75,SJ,1603766339,86,78.22,15.64,26.6,6.93
260,rivadavia,0,AR,1603766339,25,-33.19,-68.46,64.4,5.82
261,port lincoln,18,AU,1603766340,68,-34.73,135.87,61.57,10.02
262,ayan,1,RU,1603766340,67,56.45,138.17,36.01,2.95
263,ambilobe,0,MG,1603766340,72,-13.2,49.05,72,3.98
264,severo-kurilsk,99,RU,1603766340,81,50.68,156.12,45.12,4.25
265,nguiu,,,,,,,,
266,bantry,90,IE,1603766341,93,51.68,-9.45,50,12.75
267,saskylakh,91,RU,1603766341,91,71.92,114.08,-0.72,5.64
268,arkhangelsk,90,RU,1603766341,93,64.54,40.54,35.6,4.47
269,taltal,15,CL,1603766341,81,-25.4,-70.48,56.66,1.63
270,baykit,68,RU,1603766342,92,61.67,96.37,16.81,4.68
271,midland,90,US,1603766277,92,32,-102.08,28.99,13.87
272,krizevci,0,HR,1603766342,93,46.02,16.54,48.2,4.7
273,abha,0,SA,1603766342,25,18.22,42.51,53.6,3.36
274,mahibadhoo,25,MV,1603766342,71,3.78,72.97,82.99,5.91
275,thaba-tseka,93,LS,1603766343,71,-29.52,28.61,52.12,3.98
276,ollioules,0,FR,1603766343,62,43.14,5.85,55.99,3
